result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO cache size      148, 1244491 req, miss ratio 0.1913, byte miss ratio 0.1913
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO cache size      494, 1244491 req, miss ratio 0.1822, byte miss ratio 0.1822
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO cache size     1482, 1244491 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO cache size     4941, 1244491 req, miss ratio 0.1640, byte miss ratio 0.1640
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO cache size     9882, 1244491 req, miss ratio 0.1471, byte miss ratio 0.1471
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO cache size    19764, 1244491 req, miss ratio 0.0692, byte miss ratio 0.0692
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO cache size    39528, 1244491 req, miss ratio 0.0413, byte miss ratio 0.0413
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       49, 1244491 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      148, 1244491 req, miss ratio 0.3047, byte miss ratio 0.3047
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      494, 1244491 req, miss ratio 0.2296, byte miss ratio 0.2296
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1482, 1244491 req, miss ratio 0.1826, byte miss ratio 0.1826
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4941, 1244491 req, miss ratio 0.1464, byte miss ratio 0.1464
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9882, 1244491 req, miss ratio 0.1139, byte miss ratio 0.1139
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19764, 1244491 req, miss ratio 0.0570, byte miss ratio 0.0570
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    39528, 1244491 req, miss ratio 0.0412, byte miss ratio 0.0412
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       49, 1244491 req, miss ratio 0.3797, byte miss ratio 0.3797
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      148, 1244491 req, miss ratio 0.1969, byte miss ratio 0.1969
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      494, 1244491 req, miss ratio 0.1820, byte miss ratio 0.1820
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1482, 1244491 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4941, 1244491 req, miss ratio 0.1471, byte miss ratio 0.1471
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9882, 1244491 req, miss ratio 0.1165, byte miss ratio 0.1165
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19764, 1244491 req, miss ratio 0.0610, byte miss ratio 0.0610
result/tencentBlock.ns18112.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    39528, 1244491 req, miss ratio 0.0398, byte miss ratio 0.0398
