result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   158555, 23854768 req, miss ratio 0.2653, byte miss ratio 0.2653
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   317111, 23854768 req, miss ratio 0.1753, byte miss ratio 0.1753
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   634222, 23854768 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1268444, 23854768 req, miss ratio 0.0730, byte miss ratio 0.0730
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1585, 23854768 req, miss ratio 0.6257, byte miss ratio 0.6257
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4756, 23854768 req, miss ratio 0.5637, byte miss ratio 0.5637
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15855, 23854768 req, miss ratio 0.5005, byte miss ratio 0.5005
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    47566, 23854768 req, miss ratio 0.3974, byte miss ratio 0.3974
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   158555, 23854768 req, miss ratio 0.2560, byte miss ratio 0.2560
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   317111, 23854768 req, miss ratio 0.1621, byte miss ratio 0.1621
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   634222, 23854768 req, miss ratio 0.1084, byte miss ratio 0.1084
result/tencentBlock.ns3801.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1268444, 23854768 req, miss ratio 0.0759, byte miss ratio 0.0759
