result/tencentBlock.ns8324.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9281, 1251610 req, miss ratio 0.1018, byte miss ratio 0.1018
result/tencentBlock.ns8324.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18562, 1251610 req, miss ratio 0.0742, byte miss ratio 0.0742
result/tencentBlock.ns8324.oracleGeneral.zst S4LRU(25:25:25:25) cache size    37124, 1251610 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns8324.oracleGeneral.zst TwoQ cache size       46, 1251610 req, miss ratio 0.2477, byte miss ratio 0.2477
result/tencentBlock.ns8324.oracleGeneral.zst TwoQ cache size      139, 1251610 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns8324.oracleGeneral.zst TwoQ cache size      464, 1251610 req, miss ratio 0.1630, byte miss ratio 0.1630
result/tencentBlock.ns8324.oracleGeneral.zst TwoQ cache size     1392, 1251610 req, miss ratio 0.1427, byte miss ratio 0.1427
result/tencentBlock.ns8324.oracleGeneral.zst TwoQ cache size     4640, 1251610 req, miss ratio 0.1061, byte miss ratio 0.1061
result/tencentBlock.ns8324.oracleGeneral.zst TwoQ cache size     9281, 1251610 req, miss ratio 0.0902, byte miss ratio 0.0902
result/tencentBlock.ns8324.oracleGeneral.zst TwoQ cache size    18562, 1251610 req, miss ratio 0.0630, byte miss ratio 0.0630
result/tencentBlock.ns8324.oracleGeneral.zst TwoQ cache size    37124, 1251610 req, miss ratio 0.0447, byte miss ratio 0.0447
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d cache size       46, 1251610 req, miss ratio 0.2898, byte miss ratio 0.2898
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d cache size      139, 1251610 req, miss ratio 0.1868, byte miss ratio 0.1868
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d cache size      464, 1251610 req, miss ratio 0.1648, byte miss ratio 0.1648
result/tencentBlock.ns8324.oracleGeneral.zst S3FIFO-d cache size     1392, 1251610 req, miss ratio 0.1433, byte miss ratio 0.1433
