result/tencentBlock.ns17681.oracleGeneral.zst S4LRU(25:25:25:25) cache size    96825, 8172887 req, miss ratio 0.0875, byte miss ratio 0.0875
result/tencentBlock.ns17681.oracleGeneral.zst S4LRU(25:25:25:25) cache size   193650, 8172887 req, miss ratio 0.0635, byte miss ratio 0.0635
result/tencentBlock.ns17681.oracleGeneral.zst S4LRU(25:25:25:25) cache size   387301, 8172887 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns17681.oracleGeneral.zst TwoQ cache size      484, 8172887 req, miss ratio 0.2864, byte miss ratio 0.2864
result/tencentBlock.ns17681.oracleGeneral.zst TwoQ cache size     1452, 8172887 req, miss ratio 0.2451, byte miss ratio 0.2451
result/tencentBlock.ns17681.oracleGeneral.zst TwoQ cache size     4841, 8172887 req, miss ratio 0.1950, byte miss ratio 0.1950
result/tencentBlock.ns17681.oracleGeneral.zst TwoQ cache size    14523, 8172887 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns17681.oracleGeneral.zst TwoQ cache size    48412, 8172887 req, miss ratio 0.1133, byte miss ratio 0.1133
result/tencentBlock.ns17681.oracleGeneral.zst TwoQ cache size    96825, 8172887 req, miss ratio 0.0790, byte miss ratio 0.0790
result/tencentBlock.ns17681.oracleGeneral.zst TwoQ cache size   193650, 8172887 req, miss ratio 0.0712, byte miss ratio 0.0712
result/tencentBlock.ns17681.oracleGeneral.zst TwoQ cache size   387301, 8172887 req, miss ratio 0.0653, byte miss ratio 0.0653
result/tencentBlock.ns17681.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      484, 8172887 req, miss ratio 0.3825, byte miss ratio 0.3825
result/tencentBlock.ns17681.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1452, 8172887 req, miss ratio 0.2807, byte miss ratio 0.2807
result/tencentBlock.ns17681.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4841, 8172887 req, miss ratio 0.2390, byte miss ratio 0.2390
result/tencentBlock.ns17681.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14523, 8172887 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns17681.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    48412, 8172887 req, miss ratio 0.1448, byte miss ratio 0.1448
result/tencentBlock.ns17681.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    96825, 8172887 req, miss ratio 0.1104, byte miss ratio 0.1104
result/tencentBlock.ns17681.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   193650, 8172887 req, miss ratio 0.0731, byte miss ratio 0.0731
result/tencentBlock.ns17681.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   387301, 8172887 req, miss ratio 0.0629, byte miss ratio 0.0629
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d cache size      484, 8172887 req, miss ratio 0.2916, byte miss ratio 0.2916
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d cache size     1452, 8172887 req, miss ratio 0.2460, byte miss ratio 0.2460
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-d cache size     4841, 8172887 req, miss ratio 0.1975, byte miss ratio 0.1975
