result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO cache size   897038, 25965545 req, miss ratio 0.6897, byte miss ratio 0.6897
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO cache size  1794076, 25965545 req, miss ratio 0.5378, byte miss ratio 0.5378
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO cache size  3588152, 25965545 req, miss ratio 0.4962, byte miss ratio 0.4962
result/tencentBlock.ns3944.oracleGeneral.zst S3FIFO cache size  7176305, 25965545 req, miss ratio 0.4714, byte miss ratio 0.4714
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8970, 25965545 req, miss ratio 0.8988, byte miss ratio 0.8988
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    26911, 25965545 req, miss ratio 0.8537, byte miss ratio 0.8537
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    89703, 25965545 req, miss ratio 0.8218, byte miss ratio 0.8218
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   269111, 25965545 req, miss ratio 0.7804, byte miss ratio 0.7804
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   897038, 25965545 req, miss ratio 0.6824, byte miss ratio 0.6824
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1794076, 25965545 req, miss ratio 0.5464, byte miss ratio 0.5464
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3588152, 25965545 req, miss ratio 0.4407, byte miss ratio 0.4407
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  7176305, 25965545 req, miss ratio 0.3504, byte miss ratio 0.3504
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8970, 25965545 req, miss ratio 0.8929, byte miss ratio 0.8929
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    26911, 25965545 req, miss ratio 0.8625, byte miss ratio 0.8625
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    89703, 25965545 req, miss ratio 0.8207, byte miss ratio 0.8207
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   269111, 25965545 req, miss ratio 0.7807, byte miss ratio 0.7807
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   897038, 25965545 req, miss ratio 0.6912, byte miss ratio 0.6912
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1794076, 25965545 req, miss ratio 0.5615, byte miss ratio 0.5615
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3588152, 25965545 req, miss ratio 0.4584, byte miss ratio 0.4584
result/tencentBlock.ns3944.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  7176305, 25965545 req, miss ratio 0.3577, byte miss ratio 0.3577
